Juego,Libros,Género,Sistema,Complejidad,Descripción,URL,ID
"Dungeons and Dragons","Oficial AD&D. Players Handbook (I) | Oficial AD&D. Dungeon Master Guide (I) | Oficial AD&D. Monster Manual. (I) | D&D. Players'Guide to inmortals. (I) | D&D. DM'S Guide to inmortals. (I) | D&D. Basic. Red box (I) | D&D Básico. | Reinos olvidados. Escenario de campaña. AD&D. | Las ruinas de bajomontaña. AD&D | Retorno a la tumba de los Horrores. AD&D. | Compendio de monstruos. AD&D. 2ª Edición. | Manual del jugador. AD&D. 2ª Edición. | Guía del Dungeon Master. AD&D. 2ª Edición. | Tomo de magia. AD&D. 2ª Edición. | Planescape. AD&D. 2ª Edición. | Dark Sun. Escenario de campaña. AD&D. 2ª Edición. (I) | … | D&D. 5ª. Manual del narrador | D&D. 5ª. Manual del monstruos | … | Kingsmouth. 5ª. Providence","Fantasía","Dungeons & Dragons","3.50","Juego de rol fundacional de fantasía con múltiples ediciones, desde AD&D hasta la versión actual de 5ª edición, centrado en la aventura, exploración y creación de personajes.","https://rpggeek.com/rpgfamily/192/dungeons-and-dragons","192"
"El resurgir del dragón","El legado de Arather.","Fantasía","D&D5","Media","Juego ambientado en Voldor con magias, razas y bestiario original compatible con D&D 5ª edición.","https://rpggeek.com/rpg/66534/el-resurgir-del-dragon","66534"
"Clásicos del mazmorreo","Clásicos del mazmorreo | Clásicos del mazmorreo (reedición) | Pantalla | Pantalla (reedición) | Marineros de un mar sin estrellas | Phlogiston books. Volumen 1 | Phlogiston books. Volumen 2 | Los salones verticales. | El pueblo de la sima | La perdición de los Reyes bárbaros | La funesta mano del destino | La torre de la perla negra/Sangre para el rey serpiente. | La prometida de la mansión negra | Las joyas de la matarife | Aquel que observa desde las profundidades | Intriga en la corte del caos | Carnaval de las delicias terrenales | Operación Dagón | Peligro en el planeta púrpura | Espadas contra la muerte | Congelados en el tiempo | Clásicos de Ishtar","Fantasía","DCC RPG","2.90","Juego de mazmorreo old‑school con sistema derivado d20, embudos letales, magia impredecible y espíritu ""espada y brujería"".","https://rpggeek.com/rpg/10737/dungeon-crawl-classics-role-playing-game","10737"
"Labyrinth Lord","Labyrinth Lord.","Fantasía","Retro‑clone","2.10","Retro‑clone compatible con D&D B/X, con sistema sencillo y enfoque old‑school de mazmorreo.","https://rpggeek.com/rpgitem/47712/labyrinth-lord","47712"
"Rifts","Rifts. Libro básico (I)","Ciencia ficción","Megaversal","Alta","RPG multi‑género post‑apocalíptico con tecnología, magia y viajes dimensionales en la Tierra futura.","https://rpggeek.com/rpgitem/44485/rifts","44485"
"Symbaroum","Symbaourum | Aventuras Volumen 1.","Fantasía","Propio","3.50","RPG de fantasía oscura con sistema basado en d20 roll‑under y ambientación en el bosque de Davokar.","https://rpggeek.com/rpgitem/188156/symbaroum-core-rulebook","188156"
"Apéndice Ñ","El mester de mancebía.","Fantasía","D6 (OSR)","Media","Módulo picaresco ambientado en el Siglo de Oro, compatible con OSR y motores como Labyrinth Lord.","","Pendiente"
"Conan","Conan | Los señores del acero | Los pergaminos de Skelos | Islas piratas | ...","Sword & Sorcery","ZeFRS / D20","Media","RPG ambientado en la Hyborian Age con sistema ZeFRS (TSR ’85) o Mongoose d20; espada y brujería clásica.","https://rpggeek.com/rpgitem/45421/conan-the-roleplaying-game-second-edition","45421"
"13th Age","13th Age",Fantasía,d20,2.60,"Juego de fantasía d20 centrado en la historia; cada héroe tiene un rasgo único, la Escalada acelera combates y los Íconos impulsan la narrativa épica.","https://rpggeek.com/rpg/17925/13th-age","17925"
"Slaine","Slaine | Tir Nan Og | Libro de tribus. Volumen 1 | Libro de tribus. Volumen 2",Fantasía,d20,Media,"RPG de fantasía celta basado en el cómic 2000 AD; usa d20 para aventuras brutales en Tir Nan Og con magia de tierra y furia warp-spasm.","https://rpggeek.com/rpgitem/51074/slaine-the-roleplaying-game-of-celtic-heroes-d20","51074"
"Dragon Age","Dragon Age. Caja básica. | Dragon Age. Caja intermedia.",Fantasía,AGE,2.20,"Juego oficial en Thedas; sistema AGE con 3d6 y proezas para vivir la fantasía oscura de los videojuegos contra engendros tenebrosos.","https://rpggeek.com/rpg/2138/dragon-age","2138"
"Elric","Elric",Fantasía,BRP,2.70,"Ambientado en los Reinos Jóvenes de Moorcock; sistema BRP porcentual con demonios, invocaciones y la eterna pugna entre Ley y Caos.","https://rpggeek.com/rpg/986/elric","986"
"Against the Darkmaster","Manual del jugador | Manuel del narrador | Pantalla",Fantasía,d100,Alta,"Épico d100 inspirado en MERP; héroes se alzan contra un Señor Oscuro con reglas detalladas de magia y combate letal.","https://rpggeek.com/rpg/56227/against-the-darkmaster","56227"
"Traveller","Traveller. | Traveller segunda edicion | Manual Naval | Catálogo Central de Suministros | En la estacada | Informes para el árbitro | Aventuras en el brazo | Aventuras en la marca II | Compendio drixano | Sombras de Sindal | Manuel terrestre | Brazo Troyano | Naves del brazo | Piratas de drinax | Compendio del viajero | 2300 DC | 2300 DB libretos","Ciencia ficción","Traveller (custom)","3.20","Clásico RPG de space‑opera desde 1977 con múltiples ediciones; generación de personajes por carrera, viajes interestelares y comercio en el Tercer Imperio.","https://rpggeek.com/rpg/491/traveller-classic","491"
"Dreamraiders","Dreamraiders","Ciencia ficción","Propio","Media","RPG español de exploradores oníricos, sistema propio narrativo con enfoque en resolver conflictos dentro del mundo de los sueños.","https://rpggeek.com/rpgitemversion/622155/pdf-version","Pendiente"
"Imperio de la Rueda","Imperio de la rueda","Fantasía","Mythras?","Media","RPG español ambientado en un imperio decadente, sistema solo referenciado en crowdfunding, datos aún por confirmar.","","Pendiente"
"Zweihänder Grim & Perilous RPG","Zweihänder","Fantasía","Percentil (Custom)","3.20","Dark fantasy de baja magia con sistema percentil letal, inspirado en WFRP 1ª y ganadora de ENnies.","https://rpggeek.com/rpg/41215/zweihander-grim-and-perilous-rpg","41215"
"The Dresden Files RPG","Los archivos Dreden (libro básico) | Pantalla | Nuestro mundo. | Terreno neutral","Urban Fantasy","FATE","2.80","RPG urbano sobrenatural basado en los libros de Jim Butcher; sistema FATE narrativo con aspectos, magia y criaturas modernas.","https://rpggeek.com/rpg/3717/the-dresden-files-roleplaying-game","3717"
"El señor de los anillos (factoria de ideas)","El señor de los anillos. Libro básico.","Fantasía","Rolemaster","3.50","Edición española del MERP traducida por La Factoría de Ideas en 2002; sistema percentil Rolemaster en la Tierra Media.","https://rpggeek.com/rpg/77384/lord-rings-roleplaying-game","77384"
"Mundodisco","Mundodisco. El juego de rol.","Fantasía","GURPS Lite","2.40","RPG comedia y fantasía satírica basado en las novelas de Terry Pratchett; sistema GURPS Lite simplificado.","","Pendiente"
"Shadowrun","Shadowrun | Pantalla y contactos","Ciberpunk","Shadowrun (custom)","3.80","Fusión de ciberpunk y fantasía urbana en un futuro distópico; tecnología, magia y megacorporaciones.","https://rpggeek.com/rpgfamily/311/shadowrun","311"
"Cybersalles","Cybersalles | Pantalla","Ciencia ficción","Propio","Media","RPG español ambientado en cyber-noir; único sistema narrativo centrado en sombras digitales.","","Pendiente"
"Hackmaster","Manual del jugador | Guía del master | Hacklopedia. Volumen 1.","Fantasía","HackMaster (custom)","3.00","RPG inspirado en AD&D a partir del cómic Knights of the Dinner Table; reglas detalladas, apto para parodia y serio.","https://rpggeek.com/rpgfamily/2332/hackmaster","2332"
"Anno Domini","Anno domini","Historia","Trivia cards","Media","Juego cultural/histórico tipo trivia sobre eventos históricos, en formato de cartas; no es un RPG tradicional.","","Pendiente"
"Castillo de Falkenstein","Castillo de Falkenstein","Steampunk","Cartas","3.50","RPG steampunk victoriano donde se usan naipes en vez de dados; aventuras románticas, dragones y magia en la era de la Nueva Europa.","https://rpggeek.com/rpg/806/castle-falkenstein","806"
"¡Piratas!","Piratas!!","Piratería","d10","2.80","Primer RPG español de piratería (1994), sistema sencillo con 2d10, ambientado en el Caribe dorado; incluye manual y pantallas.","https://rpggeek.com/rpg/18570/piratas","18570"
"Hermanos de la costa","Hermanos de la costa","Piratería","Propio","Media","RPG polaco de piratería con sistema narrativo, ambientado en mares abiertos, abordajes y tesoros.","https://rpggeek.com/rpgitem/446521/hermanos-de-la-costa-edicion-filibusteros","446521"
"Séptimo Mar","Séptimo Mar. Manual | Pantalla | Guía de inicio | Historias de Theah | Guía del director de juego","Fantasía","d10 storytelling","3.00","RPG de capa y espada en Théah, sistema narrativo resuelto con 2d10 + atributos, enfocado en acción, conspiración y aventura.","https://rpggeek.com/rpg/199/7th-sea","199"
"La leyenda de los cinco anillos.","La leyenda de los cinco anillos. | La leyenda de los cinco anillos (4ª edición) | Enemigos del imperio (4ª edición) | Secretos del imperio (4ª edición) | Grandes clanes (4ª edición)","Fantasía","Roll & Keep","3.80","Juego de samuráis en Rokugán donde el honor, el deber y el destino modelan el equilibrio entre clanes, con mecánicas de tirar y guardar dados.","https://rpggeek.com/rpgitem/69926","69926"
"Tenra Bansho Zero","Tenra Basho Zero","Fantasia","Storytelling (cartas/dados)","2.90","RPG de fantasía oriental en un futuro feudal japonés; sistema narrativo con cartas y dados, enfoque en arquetipos y un solo acto.","https://rpggeek.com/rpgitem/139118/tenra-bansho-zero","139118"
"CthulhuTech","Cthulhutech | Cthulhutech vademecum | Pantalla","Ciencia ficción","Framewerk (d10 pool)","3.80","Fusión de mechas y horror cósmico en un futuro distópico; sistema de dados en pool con narrativa dramática inspirada en Lovecraft y anime.","https://rpggeek.com/rpg/1227/cthulhutech","1227"
"Degenesis","Manuales básicos (dos tomos) | Pantalla","Post-apocalíptico","KatharSys (d6 pool)","3.40","RPG 'primal punk' ambientado 500 años después de un cataclismo; sistema de pools de d6, profundo trasfondo cultural y estilo visual impactante.","https://rpggeek.com/rpg/1707/degenesis","1707"
"Warhammer Fantasy Roleplay","Warhammer fantasy role playing (I)","Fantasía","Percentil (d100)","3.20","RPG oscuro con sistema percentil, ambientado en el Viejo Mundo; combate letal, carrera de personajes y campaña épica como 'The Enemy Within'.","https://rpggeek.com/rpgfamily/549/warhammer-fantasy-roleplay","549"
"Warhammer Fantasy Roleplay (2ª edición)","Warhammer. | Reinos de la magia | Reinos de la magia | Arsenal del viejo mundo | Arsenal del viejo mundo. | Tumbas saqueadas | Tumbas saqueadas | Hijos de la rata cornuda. | Herederos de Sigmar | Karak Azgal | Pantalla y enseres del DJ | Tomo de Corrupción | Bestiario del viejo mundo. | Los caballeros del grial. Guía de Bretonia | Amos de la noche. Guía de los condes vampiro","Fantasía","Percentil (Warhammer System)","3.50","Edición revisada del clásico oscuro y brutal del Viejo Mundo con sistema percentil, mazmorras letales y trasfondo profundo.","https://rpggeek.com/rpg/276/warhammer-fantasy-roleplay-2nd-edition","276"
"Tschaï","Tschaï | Pueblos extraños","Ciencia ficción","Propio","Media","RPG basado en la serie de ciencia ficción de Jack Vance; viajes por planetas exóticos con enfoque narrativo y aventuras pulp.","","","Pendiente"
"Tesoro y gloria","Tesoro y gloria | Pantalla | Muerte en la caravana de oriente | El trueno sin relámpagos | La ciudad de las Ranas | Hojas de personaje | Codex Prodigium | La sombra sobre Ona | El tesoro de la vigilia | La larga noche en Anzaverde","Fantasía","Propio","Media","RPG español ambientado en aventuras pulp ibéricas; sistema narrativo clásico, ideal para campañas históricas y fantásticas.","https://tesoroygloria.com/","Pendiente"
"Mutants & Masterminds","Mutants and mastermidnd. | Freedom city. | Pantalla","Superhéroes","d20 OGL (custom)","3.80","RPG de superhéroes con sistema OGL d20 modificado; creación de héroes con poderes, honorarios y campañas en Freedom City.","https://rpggeek.com/rpg/232/mutants-and-masterminds-second-edition","232"
"El Príncipe Valiente","El príncipe valiente","Fantástico histórico","Monedas (coin‑flip)","Media","RPG ligero basado en la tira de cómic; resuelve acciones lanzando monedas, centrado en narración y aventuras artúricas.","https://rpggeek.com/rpg/839/prince-valiant-the-storytelling-game","839"
"Star Wars (JOC)","Star wars. El juego de rol | Star wars. La guía.","Ciencia ficción","Wizards Star Wars d20","3.30","Edición española del clásico de d20 ambientado en una galaxia muy, muy lejana; incluye guías de rol y ambientación cinematográfica.","https://rpggeek.com/rpg/1244/star-wars","1244"
"Star Trek","Star Trek | Pantalla | Estos son los viajes... | Cuadrante Beta | División de mando","Ciencia ficción","One Roll Engine","3.00","RPG de exploración espacial basado en series clásicas; utiliza One Roll Engine para resolución de acciones y narrativa cooperativa.","https://rpggeek.com/rpg/1123/star-trek-roleplaying-game","1123"
"Estrellas errantes","Estrellas errantes","Ciencia ficción","Propio","Media","RPG español de ciencia ficción sobre viajes interestelares y primeras colonias; sistema narrativo, enfoque en misiones y supervivencia.","","Pendiente"
"Aquelarre","Aquelarre. Edición de lujo numerada. | Rinascita | Rerum Demoni | Dracs | Danza macabra | Demonolatreia | Liber nobilium | Aquelarre. Segunda edición | Aquelarre apócrifo | Aquelarre. Pantalla | Ars malefica | Asturia Medievalia | Ars medica | Ars magna | Ars carmina | El tribunal de la Santa Inquisición | Sefarat | Al Andalus | Medina Gharnata | Mitos y leyendas | Aker codex:Jentilen lurra | Aker codex: Fogar de breogan","Horror","Percentil (BRP based)","3.10","RPG histórico-horrífico ambientado en la España medieval, con mitos, magia y demonología; sistema percentil derivado de BRP.","https://rpggeek.com/rpg/441/aquelarre","441"
"Villa y Corte","Villa y Corte | Apéndices | Pantalla | Malas compañías | Duelos y quebrantos","Fantasía histórica","Propio","Media","RPG patrio situado en la España del siglo XVII; sistema narrativo sencillo, enfocado en aventuras sociales, duelos y honor.","","Pendiente"